date_marker,ISIN,Cash_and_cash_equivalents,Inventory,Long-term_debt,Net_debt,Net_income,Number_of_employees,Sales,Short-term_debt,Total_interest-bearing_debt,Trade_payables,Trade_receivables
2018-12-31,CH0012221716,3636.44300016074,3747.53952674732,5762.14819390397,3902.37484332862,178.779793900599,,6482.52027197416,1776.66964958539,7538.81784348936,3870.00813873253,6168.91894085484
2018-12-31,DE0005140008,,,134015.0,127420.0,-426.0,,8134.0,182136.0,316151.0,90708.0,
2018-12-31,DE0005190003,10979.0,13047.0,59705.0,75378.0,1314.0,,24482.0,26652.0,86357.0,9669.0,41220.0
2018-12-31,DE0005439004,2913.2,4521.1,1449.0,1693.7,711.5,,11230.1,3157.9,4606.9,7293.0,7940.8
2018-12-31,DE0005552004,3960.0,503.0,13869.0,12502.0,813.0,,16926.0,2593.0,16462.0,7422.0,8389.0
2018-12-31,DE0005557508,3836.0,1790.0,50972.0,55753.0,-431.0,,20261.0,8617.0,59589.0,10699.0,9988.0
2018-12-31,DE0005785604,2854.0,3218.0,14040.0,16280.0,516.0,,8835.0,5094.0,19134.0,1823.0,7075.0
2018-12-31,DE0005785802,2253.061,1521.581,5045.515,5293.167,425.0,,4300.0,2500.713,7546.228,641.271,3337.706
2018-12-31,DE0005810055,21045.3,0.0,2283.2,-18323.3,140.0,,830.4,438.8,2722.0,,
2018-12-31,DE0006047004,1607.5,1890.1,8537.1,9879.3,-20.7,,3625.8,2949.7,11486.8,2024.3,1939.2
2018-12-31,DE0006048432,1455.0,2221.0,3028.0,3473.0,543.0,,4835.0,1900.0,4928.0,3870.0,3901.0
2018-12-31,DE0006062144,865.0,2225.0,1166.0,348.0,79.0,,3272.0,47.0,1213.0,1637.0,1786.0
2018-12-31,DE0006231004,2306.0,1591.0,1511.0,-773.0,254.0,,1970.0,22.0,1533.0,1190.0,972.0
2018-12-31,DE0006599905,2178.0,2764.0,6608.0,5805.0,196.2,,3887.6,1375.0,7983.0,1144.0,2931.0
2018-12-31,DE0006969603,536.3,915.1,177.9,-337.1,15.7,,1226.4,21.3,199.2,705.3,553.7
2018-12-31,DE0007037129,7132.0,1631.0,2747.0,-3761.0,-336.0,,3395.0,624.0,3371.0,2429.0,1963.0
2018-12-31,DE0007100000,25323.0,29489.0,88662.0,119579.0,1561.0,,46610.0,56240.0,144902.0,14185.0,58026.0
2018-12-31,DE0007164600,9075.0,0.0,10536.0,2229.0,1687.0,,7428.0,768.0,11304.0,1486.0,6182.0
2018-12-31,DE0007165631,48.514,321.695,894.646,956.11,49.942,,412.333,109.978,1004.624,173.454,307.364
2018-12-31,DE0007236101,12389.0,14957.0,27756.0,23200.0,1014.0,,20116.0,7833.0,35589.0,10014.0,27804.0
2018-12-31,DE0007664039,48065.0,45745.0,113722.0,155414.0,2709.0,,61272.0,89757.0,203479.0,23607.0,72104.0
2018-12-31,DE0008430026,,,4655.0,-404.0,256.0,,13965.0,,4655.0,7501.0,
2018-12-31,DE000A161408,194.1,22.5,0.5,-193.6,-4.1,,361.7,0.0,0.5,105.2,8.6
2018-12-31,DE000A1DAHH0,398.5,1202.7,1869.6,1704.2,126.4,,3138.0,233.1,2102.7,1007.4,1843.0
2018-12-31,DE000A1EWWW0,2880.0,3445.0,1690.0,-1114.0,94.0,,5233.0,76.0,1766.0,2300.0,2418.0
2018-12-31,DE000A1ML7J1,547.7,315.9,18533.8,20569.4,943.4,,1284.6,2583.3,21117.1,,
2018-12-31,DE000BASF111,2644.0,12166.0,15498.0,18793.0,93.0,,15586.0,5939.0,21437.0,5122.0,10665.0
2018-12-31,DE000BAY0017,5002.0,11132.0,37712.0,36220.0,-3964.0,,10355.0,3510.0,41222.0,6038.0,11049.0
2018-12-31,DE000ENAG999,5357.0,684.0,8323.0,4529.0,187.0,,5634.0,1563.0,9886.0,7637.0,3896.0
2018-12-31,DE000SHL1006,757.0,2034.0,4108.0,3901.0,341.0,,3301.0,550.0,4658.0,1207.0,3019.0
2018-12-31,DE000ZAL1111,1047.4,826.4,5.6,-1039.0,56.2,,1661.6,2.8,8.4,1298.9,395.1
2018-12-31,FI4000297767,,,133970.989169343,205897.983354527,504.999973238151,,2103.99988850113,113504.990823882,247475.979993225,4440.99964097493,
2018-12-31,GB0009895292,4968.72682971199,2528.10220737106,15185.2339853821,11750.8639970988,906.168246598622,,6352.81781392013,1534.35684142866,16719.5908268108,11232.9966937204,2619.95367165271
2018-12-31,IE00BZ12WP82,3906.74884307384,1444.25489026308,10749.2453613281,9473.82220566273,2515.18638432026,,5096.97700738907,2631.32568740845,13380.5710487366,2815.90338689089,4006.47328734398
2018-12-31,NL0000235190,11545.0,31891.0,7462.0,-3904.0,1601.0,,23286.0,179.0,7641.0,16237.0,6078.0
2018-12-31,NL0012169213,1241.35326153392,142.511479516983,1461.82913662612,660.642951359868,53.4148467332125,,353.329351960123,440.16707626766,1901.99621289378,60.7225640264154,307.581678058863
2018-12-31,SE0000106270,1124.72724929452,3660.55535553396,1018.17414146662,794.878420963883,341.643029339612,,5439.86730374396,901.431528791785,1919.6056702584,3389.70861241221,614.184535011649
2018-12-31,SE0000108227,1025.16061395407,1758.85592919588,1465.21993428469,667.686417192221,204.151222631335,,2053.33303749561,227.627096861601,1692.84703114629,772.669178813696,1365.76258116961
2018-12-31,SE0000108656,4441.44175904989,2886.53260454535,3045.88143914938,-1173.06395950913,-634.932587519288,,6182.57492400706,222.496360391378,3268.37779954076,2948.4961142242,6349.28638190031
2018-12-31,SE0000112724,63.9368698596954,443.907372683287,519.28973159194,708.140300899744,83.327029645443,,477.289474457502,252.7874391675,772.077170759439,332.313854455948,259.398195773363
2018-12-31,SE0000113250,1057.91839295626,4306.56259068847,385.69324734807,44.3019360601902,230.21514236927,,4890.90907260776,716.527081668377,1102.22032901645,3756.48844027519,3345.24017858505
2018-12-31,SE0000115446,4646.57254984975,6490.67763885856,8604.83706861734,8758.06848666072,248.333926722407,,10249.8059977591,4799.80396789312,13404.6410365105,7264.92550581694,10131.7245085537
2018-12-31,SE0000148884,,,46255.8586432636,63631.097699672,443.377311229706,,1728.26072998345,38008.199767381,84264.0584106445,1073.21193435788,
2018-12-31,SE0000202624,125.604375511408,448.34743309021,727.972570717335,942.871494412422,69.0839210897684,,764.477051049471,340.503299206495,1068.47586992383,184.311840891838,602.664199233055
2018-12-31,SE0000242455,,,62479.3460301161,71287.2418613434,444.733797758818,,1410.93977406621,24906.6668546498,87386.0128847659,,
2018-12-31,SE0000382335,538.686917916896,662.992554545657,1407.51421066626,1411.80061192932,-81.5025530278206,,1921.7075083807,542.973319179957,1950.48752984622,855.793133806592,1445.21704626584
2018-12-31,SE0000667891,1784.80561557412,2406.80874457955,2741.78663527966,1191.31754118204,273.041359931231,,2516.08872771263,234.336521476507,2976.12315675616,2346.32525503635,14.1095252931118
2018-12-31,SE0000667925,1851.50518968701,182.93048876524,8583.13010662794,7674.10173931718,172.080005407333,,2151.8720946461,942.476822376251,9525.60692900419,2835.91591590643,1738.92499136925
2018-12-31,SE0000695876,484.657260417938,912.975087672472,842.624797224998,705.377596646547,125.087436363101,,1086.06125034392,347.410059839487,1190.03485706449,293.241322875023,664.825044929981
2018-12-31,SE0005190238,40.0592116713524,66.1075660586357,2147.70655283332,2752.83745229244,-65.7895966619253,,640.067857950926,645.190111130476,2792.89666396379,798.02685713768,
2018-12-31,SE0007100581,53.083388864994,1116.52719032764,1922.94082823396,2619.14230003953,157.643113061786,,2244.69452999532,749.284860670567,2672.22568890452,778.786595374346,1430.29145908356
2018-12-31,SE0007100599,,,79980.7814700902,130498.012755901,389.020958170295,,1614.60653722286,81816.4011103213,161797.182580411,,
2018-12-31,SE0009922164,296.793371200562,1503.1084497571,4292.05839335918,5063.54355606437,329.723118469119,,3014.5006352663,1068.27853390574,5360.33692726493,1569.90669187903,1843.80908498168
2018-12-31,SE0011166610,1619.53670042753,1254.85973900557,1422.2993503511,391.415991872549,503.83785367012,,2453.39967168868,588.653341948986,2010.95269230008,2711.10088446736,1865.41737896204
2018-12-31,SE0011166628,1619.53670042753,1254.85973900557,1422.2993503511,391.415991872549,503.83785367012,,2453.39967168868,588.653341948986,2010.95269230008,2711.10088446736,1865.41737896204
2018-12-31,SE0012673267,84.9509931322814,0.0,5.61899954574154,-78.381993663341,25.5349986468226,,70.2329962781397,0.949999923198872,6.56899946894041,3.18999974210989,47.6219961500808
2018-12-31,SE0015810247,47.9526523947716,0.0,280.414481699467,281.795833826065,-802.26489007473,,-787.246646359563,49.3340045213699,329.748486220837,,
2018-12-31,SE0015811559,224.173716545105,1022.0032376647,310.310888439417,107.646797865629,180.800275951624,,1215.31503818929,21.5096259713173,331.820514410734,503.79885417223,183.917168855667
2018-12-31,SE0015811963,1373.26134985685,468.475706934929,6301.53106552362,5307.64821043611,-4369.24311026931,,-3187.25888393819,379.378494769335,6680.90956029296,,
2018-12-31,SE0015812219,284.755874097347,,1211.84048706293,1048.34759607911,89.6250028163195,,319.84014518559,121.262983113527,1333.10347017646,304.390807896852,
2018-12-31,SE0015961909,394.599968099236,462.999962569555,1813.89985335835,1961.09984145822,215.799988564102,,1042.99994472825,541.799956199103,2355.69980955746,251.099979700249,959.099922463198
2018-12-31,SE0016101844,17.8351306465566,0.0679822582304478,48.0721393537223,40.0087923187315,10.0283111259341,,111.551638640463,9.77178361156583,57.8439229652882,94.549803681314,86.8169944766164
2018-12-31,SE0016589188,1171.48527136445,1652.68915146589,611.544320046902,-170.004979580641,120.436625406146,,3102.57536776364,389.935971736908,1001.48029178381,3398.42223545909,2119.58617025614
2018-12-31,US0258161092,24008.2225701213,0.0,41208.9396550655,29810.6106301546,1747.48489558697,,9908.25688540936,12609.8935452104,53818.8332002759,,
2018-12-31,US0311621009,25634.430832386,2571.84093117714,25814.6346527338,4045.83819955587,1689.64437246323,,5433.50368738174,3865.63437920809,29680.2690319419,1055.85442310572,3131.69746041298
2018-12-31,US0378331005,75604.2503941655,4363.38182473183,81344.5293704867,24758.7802296281,17496.7582449317,,73942.0978412032,19018.5012533069,100363.030623794,38746.4457022548,15813.3226234317
2018-12-31,US0970231058,7491.58018183708,54732.0991635919,9322.48598760366,4621.44069367647,2998.94348680973,,24837.2464522719,2790.53488790989,12113.0208755136,11298.6045806408,12565.2799780369
2018-12-31,US1491231015,6901.98127448559,10085.2905086875,21869.395673275,25073.6995273232,918.437397480011,,12568.9209491014,10106.2851285338,31975.6808018088,6168.04435569048,15266.5877315998
2018-12-31,US1667641005,9347.85448658466,4989.72131681442,25134.9338352084,20796.0457336307,3268.86592805386,,35007.5384348631,5008.9663850069,30143.9002202153,12205.7471131682,12921.3137395978
2018-12-31,US17275R1023,35193.6912426353,1482.41757184267,13850.7127979398,-12857.2054305673,2478.21545779705,,10928.0344283581,8485.77301412821,22336.485812068,1442.3286780715,3263.75885158777
2018-12-31,US1912161007,14097.0124509931,2686.4365645051,22198.311384201,24580.3259609342,762.443259358406,,6816.41801297665,16479.0270277262,38677.3384119272,8339.23795813322,3223.54892224073
2018-12-31,US2546871060,3897.1263089776,1187.07079714537,15025.1496033669,14180.1161545515,2443.32391619682,,13376.9355297089,3052.09286016226,18077.2424635291,9356.60224485397,8855.35569602251
2018-12-31,US38141G1040,,,206470.714103043,320128.587744534,2224.23102557659,,10650.5435988307,122982.983956575,329453.698059618,157665.221166909,
2018-12-31,US4370761029,1549.52289402485,12135.6053426862,23362.2385939956,23899.9526691437,2058.44685792923,,23263.7865671515,2087.23696917295,25449.4755631685,6758.46459120512,1687.21952915192
2018-12-31,US4385161066,9543.80427181721,3784.2802273035,8534.31296753883,4639.81098604202,1508.23545902967,,8526.21893137693,5649.3022903204,14183.6152578592,4904.86806160212,6567.81690859795
2018-12-31,US4581401001,10191.1383837461,6344.74907273054,22321.6547757983,13233.6087098122,4552.75026708841,,16350.4642412066,1103.09231775999,23424.7470935583,3345.14276218414,5880.24310863018
2018-12-31,US4592001014,10691.5101567507,1471.37294089794,31146.3933178782,29383.7200266123,1711.55366152525,,19069.845199585,8928.83686548471,40075.230183363,5736.7798730135,26454.0957822204
2018-12-31,US46625H1005,,,229996.060416698,430340.719403744,6157.38659799099,,28479.4466659427,254514.277293921,484510.337710619,100419.016276717,
2018-12-31,US4781601046,17221.7117047906,7522.19733577967,24217.2939927578,9441.45550006628,2665.92229306698,,17875.3507599235,2445.87321209908,26663.1672048569,6593.18540757895,12332.5896080732
2018-12-31,US5801351017,757.555866122246,44.7010447561741,27183.9212546289,26426.3653885066,1240.32867237926,,4524.70637708902,0.0,27183.9212546289,1056.64172134995,2135.76518145204
2018-12-31,US58933Y1055,7754.01292991638,4758.78049850464,17325.8100281954,14215.1071876287,1601.13084465265,,9625.18887072802,4643.31008934975,21969.1201175451,2902.50619375706,6185.5398722291
2018-12-31,US5949181045,111675.631617665,1715.43539661169,70245.3736783862,-36897.1696041226,7379.0485560894,,28379.5403078198,4533.08833515644,74778.4620135427,6615.92957907915,17215.5882740021
